,Traverse,Increment,bias,step,Points_visited,final_max,max_mag
100,1.8666666666666667,2.2,8,4,2500,[ 0.000  0.000  0.003  0.013 -8.400  0.000  58.241],58.24141182926843
101,1.8666666666666667,2.2,8,7,2500,[ 0.000  0.000  0.003  0.013 -8.400  0.000  58.242],58.241887534357886
102,1.8666666666666667,2.2,16,1,2500,[ 0.000  0.000  5.420  7.837 -12.241  0.000  574.809],574.8093334801849
103,1.8666666666666667,2.2,16,4,2500,[ 0.000  0.000  0.003  0.012 -8.400  0.000  58.243],58.24281181060742
104,1.8666666666666667,2.2,16,7,2500,[ 0.000  0.000  0.003  0.012 -8.400  0.000  58.243],58.24326089280963
105,1.8666666666666667,2.2,24,1,2500,[ 0.000  0.000  5.415  7.835 -12.240  0.000  574.784],574.784087438509
106,1.8666666666666667,2.2,24,4,2500,[ 0.000  0.000  0.003  0.012 -8.400  0.000  58.244],58.244134152121234
107,1.8666666666666667,2.2,24,7,2500,[ 0.000  0.000  0.003  0.012 -8.400  0.000  58.245],58.24455878540729
108,2.4000000000000004,1.4,0,1,2500,[ 0.000  0.000  4.901  4.074 -11.208  0.000  309.910],309.9096637876816
109,2.4000000000000004,1.4,0,4,2500,[ 0.000  0.000  5.513  4.212 -11.981  0.000  371.511],371.511093964859
110,2.4000000000000004,1.4,0,7,2500,[ 0.000  0.000  6.252  3.340 -12.528  0.000  339.043],339.0427397474739
111,2.4000000000000004,1.4,8,1,2500,[ 0.000  0.000  5.456  5.870 -9.333  0.000  463.305],463.3053852269828
112,2.4000000000000004,1.4,8,4,2500,[ 0.000  0.000  0.001  0.005 -12.600  0.000  56.825],56.82487416754509
113,2.4000000000000004,1.4,8,7,2500,[ 0.000  0.000  0.001  0.005 -12.600  0.000  56.825],56.82461489863334
114,2.4000000000000004,1.4,16,1,2500,[ 0.000  0.000  5.411  8.948 -13.523  0.000  600.398],600.398450575146
115,2.4000000000000004,1.4,16,4,2500,[ 0.000  0.000  0.001  0.005 -12.600  0.000  56.824],56.82410967497499
116,2.4000000000000004,1.4,16,7,2500,[ 0.000  0.000  0.001  0.005 -12.600  0.000  56.824],56.823863494256244
117,2.4000000000000004,1.4,24,1,2500,[ 0.000  0.000  5.777  7.922 -13.771  0.000  560.483],560.4827715380303
118,2.4000000000000004,1.4,24,4,2500,[ 0.000  0.000  0.001  0.005 -12.600  0.000  56.823],56.823383458394005
119,2.4000000000000004,1.4,24,7,2500,[ 0.000  0.000  0.001  0.005 -12.600  0.000  56.823],56.823149399250454
120,2.4000000000000004,1.8,0,1,2500,[ 0.000  0.000  5.552  6.380 -10.076  0.000  503.137],503.137079769181
121,2.4000000000000004,1.8,0,4,2500,[ 0.000  0.000  5.414  6.151 -11.249  0.000  494.968],494.96814817288805
122,2.4000000000000004,1.8,0,7,2500,[ 0.000  0.000  5.414  6.151 -11.249  0.000  494.968],494.96814817288805
123,2.4000000000000004,1.8,8,1,2500,[ 0.000  0.000  4.339  4.347 -11.256  0.000  268.970],268.97000422887703
124,2.4000000000000004,1.8,8,4,2500,[ 0.000  0.000  0.004  0.012 -12.600  0.000  56.877],56.87710874265407
125,2.4000000000000004,1.8,8,7,2500,[ 0.000  0.000  0.004  0.012 -12.600  0.000  56.876],56.87646260235951
126,2.4000000000000004,1.8,16,1,2500,[ 0.000  0.000  5.411  6.852 -13.112  0.000  539.359],539.3591327993086
127,2.4000000000000004,1.8,16,4,2500,[ 0.000  0.000  0.004  0.011 -12.600  0.000  56.875],56.87520039318557
128,2.4000000000000004,1.8,16,7,2500,[ 0.000  0.000  0.004  0.011 -12.600  0.000  56.875],56.8745838613891
129,2.4000000000000004,1.8,24,1,2500,[ 0.000  0.000  5.723  8.187 -13.608  0.000  566.773],566.7733631246674
130,2.4000000000000004,1.8,24,4,2500,[ 0.000  0.000  0.004  0.011 -12.600  0.000  56.873],56.87337883871945
131,2.4000000000000004,1.8,24,7,2500,[ 0.000  0.000  0.004  0.011 -12.600  0.000  56.873],56.87278992592878
132,2.4000000000000004,2.2,0,1,2500,[ 0.000  0.000  5.757  5.833 -13.630  0.000  475.966],475.9659014750617
133,2.4000000000000004,2.2,0,4,2500,[ 0.000  0.000  5.757  5.833 -13.630  0.000  475.966],475.9659014750617
134,2.4000000000000004,2.2,0,7,2500,[ 0.000  0.000  5.163  7.595 -12.946  0.000  556.411],556.4112780235956
135,2.4000000000000004,2.2,8,1,2500,[ 0.000  0.000  5.302  5.313 -11.037  0.000  426.835],426.83515056016927
136,2.4000000000000004,2.2,8,4,2500,[ 0.000  0.000  0.003  0.014 -12.600  0.000  56.886],56.8861508612459
137,2.4000000000000004,2.2,8,7,2500,[ 0.000  0.000  0.003  0.014 -12.600  0.000  56.885],56.88549583212352
138,2.4000000000000004,2.2,16,1,2500,[ 0.000  0.000  5.336  7.451 -13.000  0.000  553.523],553.5229648374958
139,2.4000000000000004,2.2,16,4,2500,[ 0.000  0.000  0.003  0.014 -12.600  0.000  56.884],56.88421364684473
140,2.4000000000000004,2.2,16,7,2500,[ 0.000  0.000  0.003  0.014 -12.600  0.000  56.884],56.883586098120745
141,2.4000000000000004,2.2,24,1,2500,[ 0.000  0.000  5.401  10.055 -10.171  0.000  611.368],611.36772470123
142,2.4000000000000004,2.2,24,4,2500,[ 0.000  0.000  0.003  0.013 -12.600  0.000  56.882],56.882357147976336
143,2.4000000000000004,2.2,24,7,2500,[ 0.000  0.000  0.003  0.013 -12.600  0.000  56.882],56.88175538591193
